Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
15-04-22;61;61,25;61,75;62;60,75;61,25;61,19;102499;6271478,5;308
15-04-21;61,5;61,75;61;62;61;61,75;61,61;106096;6536120,5;378
15-04-20;60,25;60,5;60,25;61;59;60,25;60,04;347988;20892324;806
15-04-17;58;58,25;59,75;59,75;58;58;58,8;109358;6429799,5;397
15-04-16;59,25;59,5;60,5;61;59,5;59,5;59,92;76059;4557476,5;258
15-04-15;60,25;60,5;59,75;61;59,5;60,5;60,54;123715;7489825;319
15-04-14;59,5;59,75;59,75;60,25;59,5;59,5;59,65;80897;4825393,75;201
15-04-13;59,5;59,75;59,5;60;59;59,75;59,65;112148;6690159,5;239
15-04-10;59,25;59,5;58,5;60,25;58,5;59,25;59,21;155309;9195810,75;369
15-04-09;58,25;58,75;59;59;58,25;58,5;58,68;118536;6955380;351
15-04-08;58,5;58,75;58,75;59,5;58,5;58,75;59;123737;7300059,25;415
15-04-07;58,5;58,75;60,5;61,25;58;58,75;59,63;234052;13955631,25;640
15-04-02;60,5;60,75;60,25;61,25;60,25;60,5;60,75;25700;1561155,5;123
15-04-01;60;60,5;60;60,5;59;60,5;59,93;59151;3544934,75;189
15-03-31;59,5;60;60,25;60,75;59,25;60;59,83;116947;7000290,5;412
15-03-30;60;60,25;61;61,5;59,25;60,25;60,1;635220;38173759,38;434
15-03-27;60,25;60,5;59,75;61,5;59,75;60,5;60,58;141497;8572058,75;366
15-03-26;59,5;60;60,5;60,5;59,5;59,75;59,68;117904;7036395,25;320
15-03-25;60,75;61;62;62;60;61;60,91;177163;10790577;387
15-03-24;61,75;62;60,25;62;60;61,75;61,23;183609;11242332,13;533
15-03-23;60,5;60,75;60;61;59;60,75;60,03;164783;9891795,5;369
15-03-20;59,75;60;59;60;58,25;60;59,46;96081;5712523;355
15-03-19;58,75;59,25;58,5;59;58,5;59;58,9;169780;10000114,5;420
15-03-18;58;58,25;57,5;58,25;57,25;58,25;57,8;106868;6176439,25;400
15-03-17;57,5;57,75;57,25;57,75;56,75;57,5;57,3;147265;8437872,25;316
15-03-16;57;57,25;58;58,25;57;57,25;57,63;150672;8683897;426
15-03-13;57;57,25;56;57,5;56;57,25;57;194175;11067486,25;429
15-03-12;55,25;55,5;55;55,75;54,5;55,5;55,04;166572;9168032,25;240
15-03-11;54,5;54,75;54;54,75;53,75;54,5;54,43;250798;13650476,25;304
15-03-10;54;54,25;55;55,5;54;54,25;54,72;70058;3833534;228
15-03-09;55;55,25;55,75;56;54,5;55;55,44;166269;9217211,75;371
15-03-06;55,75;56;55,75;56,5;55,5;56;55,99;98354;5487779,25;230
15-03-05;55,5;55,75;54,75;56,5;54,75;55,75;55,18;372786;20568384,75;312
15-03-04;54,5;54,75;56;56;53,5;54,75;54,28;374803;20345420,5;693
15-03-03;56,25;56,5;57,75;58;56;56,25;56,87;97878;5565869,5;307
15-03-02;57,5;57,75;58,5;58,5;57,5;57,75;57,84;125053;7233053,5;336
15-02-27;58,25;58,5;58,5;58,75;57,25;58,5;57,9;239870;13888001,25;352
15-02-26;58;58,5;58;58,5;57,5;58,5;58,03;84738;4917174;268
15-02-25;57,75;58,25;58;58,25;57,5;58;57,91;88053;5099369;253
15-02-24;58;58,25;58;58,25;56,75;58;57,59;143112;8241497,5;455
15-02-23;58;58,25;58,5;59,25;57,5;58,25;58,38;218747;12769622;493
15-02-20;57,75;58;55,75;59;55,75;58;57,53;402562;23160213,5;825
15-02-19;55,75;56;56,25;56,25;55,5;55,75;55,73;1175977;64946802;452
15-02-18;56;56,25;56,5;56,5;55,75;56;56,13;152897;8581734,5;333
15-02-17;56,25;56,5;56,5;57,25;56;56,5;56,3;117475;6613761,75;340
15-02-16;56,75;57;56,75;57;56;56,75;56,46;74175;4187683;252
15-02-13;56,5;56,75;57,5;58,25;56;56,75;57,15;264083;15092519,5;589
15-02-12;57,25;57,5;56,25;58;55,5;57,25;57,4;277528;15930567,5;535
15-02-11;56,25;56,5;56,75;57,5;56,25;56,5;56,68;148283;8405274,75;341
15-02-10;56,5;56,75;56,75;57,25;56;56,5;56,53;200076;11310555,5;389
15-02-09;56,5;56,75;57,5;57,5;56,5;56,5;56,88;115439;6566258;274
15-02-06;57;57,25;57,75;57,75;57;57;57,35;157626;9039706;335
15-02-05;57,5;57,75;57,25;57,75;56,75;57,75;56,89;829810;47210179,5;526
15-02-04;56,75;57;56,5;57,5;56,5;57;56,95;224272;12771698;636
15-02-03;56;56,25;55;56,25;55;56,25;55,68;169906;9460548,25;305
15-02-02;55;55,25;55;55,75;54,75;55;55,13;216166;11916479;343
15-01-30;54,75;55;56,25;56,5;54,75;55;55,55;156628;8700268,25;467
15-01-29;56;56,25;55;56,25;55;56;55,62;173178;9631450;443
15-01-28;54,75;55;54,5;55,5;54,5;55;54,94;1083887;59545042;573
15-01-27;54,25;54,5;54,5;55,25;54;54,5;54,86;364032;19973644,63;753
15-01-26;54;54,25;52,5;54,75;52,5;54,25;53,92;869647;46891285,5;1222
15-01-23;50;50,25;50,75;50,75;49,8;50,25;50,02;821338;41083997,4;927
15-01-22;49,8;50,5;50,5;50,75;48,6;50,25;49,49;582556;28832910,3;1134
15-01-21;50,25;50,75;52,5;52,5;50,25;50,25;51,01;226859;11572827;672
15-01-20;52,25;52,5;54;54;52;52,5;52,84;890115;47032717,25;869
15-01-19;54,25;54,5;54,25;54,5;54;54,5;54,33;63692;3460276,5;216
15-01-16;53,75;54,25;54;54;53;54;53,59;67400;3612166,75;230
15-01-15;53,75;54;52,75;54;52,75;54;53,43;101163;5405228;236
15-01-14;52,5;52,75;53,5;53,5;52,5;52,5;53,03;125405;6650397;289
15-01-13;53;53,25;53;54;53;53,25;53,55;136275;7296767,5;366
15-01-12;53;53,25;54,25;55;53;53;54,12;263735;14274066,5;650
15-01-09;53,5;53,75;53;54;52;53,75;53,46;194846;10416470,25;326
15-01-08;53;53,25;52,75;53,25;52,75;53;52,98;57656;3054574,5;199
15-01-07;52,25;52,5;53,5;53,5;52,25;52,25;52,59;106502;5600645,25;295
15-01-05;53,75;54;54,5;54,5;53,75;53,75;53,91;108233;5834983,75;185
15-01-02;54;54,5;52,75;54,5;52,5;54,5;53,91;371511;20022547,75;361
14-12-30;52,75;53;52;52,75;51,75;52,75;52,41;86085;4510762,5;231
14-12-29;52,25;52,5;52,25;52,5;51,75;52,5;52,24;75948;3967445,25;210
14-12-23;52,25;52,5;52,25;53;52;52,25;52,45;68826;3610128;220
14-12-22;51,75;52;51;52,25;50,75;52;51,46;117140;6027343,5;306
14-12-19;50,75;51;52;52,25;50,5;51;51,16;268802;13751147,5;496
14-12-18;52,25;52,5;50,5;52,5;50,5;52,5;51,74;468161;24220542,93;404
14-12-17;50,25;50,5;49,5;50,75;49,4;50,5;49,77;221056;11001142,63;351
14-12-16;50,25;50,5;50,75;51,25;49;50,5;49,88;190118;9481815,2;487
14-12-15;50,75;51;50,75;51,5;50,5;50,75;50,79;447778;22742914,25;344
14-12-12;50,5;50,75;51,75;51,75;50,25;50,75;50,85;128449;6531765,5;385
14-12-11;51,5;51,75;50,75;52;50,5;51,5;51,16;268029;13712665,88;610
14-12-10;50,5;50,75;49,3;50,75;49,2;50,75;50,04;1119776;55748554,85;491
14-12-09;49,1;49,2;48,8;49,7;48,5;49,1;49,11;180044;8842697,9;493
